"enabled","Включено"
"method_name","Название метода"
"method_title","Тайтл метода"
"update","Обновить"
"install","Установить"
"cron","Включить ежедневную проверку статусов через крон"
"debug_mode","Режим отладки"
"test_mode","Тестовый режим"
"weight_unit","Единица измерения веса"
"gram","Грамм"
"kilogram","Килограмм"
"dimension_unit","Единица измерения размера"
"centimeter","Сантиметр"
"meter","Метр"
"order_nf","Заказ не найден"
"order_ns","Заказ не определен"
