"enabled","Enabled"
"method_name","Method name"
"method_title","Method title"
"update","Update"
"install","Install"
"cron","Enable daily status check cron"
"debug_mode","Debug"
"test_mode","Test mode"
"weight_unit","Weight unit"
"gram","Gram"
"kilogram","Kilogram"
"dimension_unit","Dimension unit"
"centimeter","Centimeter"
"meter","Meter"
"order_nf","Order not found"
"order_ns","Order undefined"
